total_nodes_manhattan,solution_length_manhattan,total_nodes_misplaced,solution_length_misplaced,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_manhattan_misplaced,unique_to_manhattan,unique_to_misplaced,avg_order_diff_manhattan_misplaced,max_order_diff_manhattan_misplaced,shared_states_manhattan_h_max,unique_to_h_max,avg_order_diff_manhattan_h_max,max_order_diff_manhattan_h_max,shared_states_misplaced_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0
12,5,19,5,19,5,True,12,0,0,0.06355218855218854,0.14141414141414144,12,0,0.06355218855218854,0.14141414141414144,19,0.0,0.0
13,5,13,5,22,5,True,13,0,0,0.0,0.0,13,9,0.08791208791208792,0.25000000000000006,13,0.08791208791208792,0.25000000000000006
13,5,13,5,22,5,True,13,0,0,0.0,0.0,13,9,0.08791208791208792,0.25000000000000006,13,0.08791208791208792,0.25000000000000006
14,5,14,5,24,5,True,14,0,0,0.0,0.0,14,10,0.06569517439082655,0.16722408026755853,14,0.06569517439082655,0.16722408026755853
15,5,15,5,20,5,True,15,0,0,0.0,0.0,15,5,0.04586466165413532,0.13157894736842102,15,0.04586466165413532,0.13157894736842102
14,5,14,5,22,5,True,14,0,0,0.0,0.0,14,8,0.059392987964416534,0.14652014652014655,14,0.059392987964416534,0.14652014652014655
14,5,14,5,17,5,True,14,0,0,0.0,0.0,14,3,0.04429945054945055,0.10096153846153844,14,0.04429945054945055,0.10096153846153844
8,3,8,3,8,3,True,8,0,0,0.0,0.0,8,0,0.0,0.0,8,0.0,0.0
16,5,16,5,25,5,True,16,0,0,0.0,0.0,16,9,0.06406250000000001,0.175,16,0.06406250000000001,0.175
15,5,18,5,21,5,True,15,0,0,0.06526610644257703,0.19327731092436973,15,3,0.05714285714285714,0.15000000000000002,18,0.05964052287581699,0.2147058823529412
14,5,14,5,23,5,True,14,0,0,0.0,0.0,14,9,0.06743256743256744,0.1573426573426573,14,0.06743256743256744,0.1573426573426573
16,5,16,5,25,5,True,16,0,0,0.0,0.0,16,9,0.04062500000000001,0.10000000000000009,16,0.04062500000000001,0.10000000000000009
13,5,13,5,18,5,True,13,0,0,0.0,0.0,13,5,0.0535444947209653,0.12254901960784315,13,0.0535444947209653,0.12254901960784315
9,3,9,3,9,3,True,9,0,0,0.0,0.0,9,0,0.0,0.0,9,0.0,0.0
16,5,16,5,22,5,True,16,0,0,0.0,0.0,16,6,0.05059523809523808,0.1333333333333333,16,0.05059523809523808,0.1333333333333333
15,5,15,5,21,5,True,15,0,0,0.0,0.0,15,6,0.04857142857142857,0.12857142857142856,15,0.04857142857142857,0.12857142857142856
14,5,14,5,16,5,True,14,0,0,0.0,0.0,14,2,0.031501831501831494,0.07179487179487176,14,0.031501831501831494,0.07179487179487176
10,3,10,3,10,3,True,10,0,0,0.0,0.0,10,0,0.0,0.0,10,0.0,0.0
