total_nodes_misplaced,solution_length_misplaced,total_nodes_height_diff,solution_length_height_diff,total_nodes_h_max,solution_length_h_max,all_solutions_optimal,shared_states_misplaced_height_diff,unique_to_misplaced,unique_to_height_diff,avg_order_diff_misplaced_height_diff,max_order_diff_misplaced_height_diff,shared_states_misplaced_h_max,unique_to_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,shared_states_height_diff_h_max,avg_order_diff_height_diff_h_max,max_order_diff_height_diff_h_max
198,7,913,7,690,7,True,192,1,246,0.34377672813325616,0.9197947279365928,191,49,0.28141362220864546,0.8672761966507776,618,0.15556923098760095,0.5805340182822805
202,7,861,7,878,7,True,195,0,102,0.3275873168445192,0.8794515793127387,200,137,0.3248038881986873,0.813934886570568,719,0.14191655194514435,0.7441104717456446
83,6,176,6,338,6,True,83,1,26,0.19321690944964526,0.6635540069686411,82,184,0.3178675262181441,0.7890280089744518,149,0.22694225456697326,0.6725052988554473
52,7,628,7,520,7,True,52,0,203,0.2986930510150324,0.7624542640022517,52,97,0.3714613902475174,0.7121160602969512,419,0.1672957735874281,0.5979109623770409
7,2,15,2,13,2,True,7,0,4,0.1496598639455782,0.38095238095238093,7,2,0.25,0.5,11,0.19155844155844157,0.5119047619047619
69,6,394,6,249,6,True,67,0,142,0.3561341250639483,0.8099835353988923,67,8,0.29230507802543265,0.6819259962049335,239,0.1750353826599037,0.5689895756381844
64,6,440,6,213,6,True,61,0,230,0.34302583699499195,0.7411866796832628,64,5,0.25413905735250075,0.6037735849056604,206,0.23938593182310375,0.6607749172647956
31,6,154,6,255,6,True,31,0,37,0.2026776301918617,0.5751633986928104,31,136,0.2720345440690881,0.6036745406824147,117,0.25386080133648453,0.5604703823786732
63,6,510,6,338,6,True,62,3,206,0.327954263424846,0.7684897648773686,59,40,0.2758126978306967,0.8998755623624006,293,0.24456522550144033,0.8434237143873191
119,7,784,7,545,7,True,118,5,283,0.3070554878646093,0.7912635019590016,113,51,0.28603597393659724,0.857645812562313,489,0.209286890856602,0.7816091954022988
65,7,812,7,637,7,True,65,2,265,0.3055166935407379,0.810072441430333,63,80,0.2885578890885495,0.7093160377358491,529,0.2122956070864082,0.8647294666883807
162,7,759,7,591,7,True,156,4,200,0.31058756590029923,0.7698171106935682,152,65,0.2987838054975316,0.8039898936730182,521,0.13969325754231207,0.5736873922486174
84,7,824,7,512,7,True,83,3,334,0.3713222357582403,0.9564625451990221,80,31,0.3325221630160564,0.7687029920071676,470,0.18924150577625984,0.8832489602975131
70,5,159,5,152,5,True,61,2,49,0.18635473713651576,0.4876169510181618,68,41,0.20858104255235063,0.5926672425376716,110,0.182401176658868,0.5065386872327939
75,6,342,6,379,6,True,75,0,75,0.3218171250429315,0.9184037409843862,75,108,0.3252873563218391,0.8483045379597104,262,0.203781172423175,0.7552136406418943
152,7,820,7,660,7,True,148,1,211,0.3169899577184345,0.8850803354114612,147,74,0.2677920015849249,0.8394215598589073,571,0.1590498218462363,0.7013975739317166
37,6,321,6,227,6,True,37,0,135,0.28849474474474474,0.6902777777777778,37,39,0.3401764596454862,0.6981317600786627,186,0.18087279355790276,0.6771017699115044
23,4,80,4,53,4,True,23,0,32,0.2671986791414419,0.6812428078250863,23,6,0.21047430830039526,0.4195804195804196,47,0.12357310074789202,0.4259980525803311
19,4,47,4,63,4,True,19,0,10,0.09992372234935164,0.27053140096618356,19,26,0.189586870401811,0.4229390681003584,37,0.15079034153367957,0.48527349228611505
35,5,236,5,115,5,True,35,0,128,0.37100303951367786,0.8986232790988736,35,8,0.23234556980687016,0.6480908152734778,106,0.2269327473641953,0.7531914893617021
43,6,488,6,303,6,True,43,0,193,0.32517549305190774,0.7606336168964505,43,27,0.3559987679038965,0.7776726584673604,272,0.19209612567982984,0.7544093449556006
79,6,438,6,328,6,True,78,0,142,0.36426414634476595,0.8489702517162472,78,34,0.3104488235045751,0.6784286050341097,288,0.1827152005573478,0.6231324222002953
152,7,688,7,412,7,True,149,6,288,0.3002091698980896,0.8810067767527499,145,36,0.24589400084121907,0.8987608965372779,372,0.19238525193512174,0.6664116703322389
160,7,694,7,644,7,True,158,20,184,0.29323429801098777,0.8176372893354026,139,135,0.28129484440265506,0.8067431556090261,496,0.16370331682565165,0.7126833767580268
183,7,905,7,527,7,True,181,3,364,0.3203620683819188,0.813527180783818,178,20,0.2602608546236521,0.7441607821835959,502,0.19132001051281264,0.6370377536256268
35,6,214,6,104,6,True,31,5,117,0.3171686666488494,0.7484120408726871,29,8,0.2073888812304299,0.5137064534551685,96,0.19554693316316452,0.6697661698345412
11,3,35,3,17,3,True,11,0,20,0.1304812834224599,0.2823529411764706,11,2,0.08522727272727272,0.1875,15,0.16887254901960785,0.3897058823529412
379,9,1400,9,1617,9,True,371,0,193,0.29462912130354607,0.790608181959147,373,486,0.3514769061165021,0.8478639530619728,1071,0.17470654718597442,0.7448053418637074
23,4,98,4,50,4,True,23,0,48,0.2591377694470478,0.8556701030927836,23,0,0.22574009841090587,0.7959183673469388,50,0.24038712392173367,0.6507468966968231
214,7,908,7,521,7,True,210,0,371,0.3138180547205812,0.8708946068916253,210,15,0.2650361571136219,0.8067804261466234,503,0.21315898182274348,0.7185183614621321
21,5,154,5,140,5,True,21,0,32,0.1289449112978525,0.303921568627451,21,19,0.12117163412127441,0.29964028776978413,121,0.20819202683550778,0.7064466074199464
27,4,61,4,73,4,True,27,0,18,0.15351377018043685,0.558974358974359,27,30,0.2726337448559671,0.8226495726495726,43,0.17344961240310078,0.8444444444444443
65,6,574,6,355,6,True,65,0,231,0.3758516243791113,0.8778359511343805,65,14,0.34738428943937416,0.8700564971751412,335,0.21486277018492594,0.721877126038986
