total_nodes_manhattan,solution_length_manhattan,total_nodes_misplaced,solution_length_misplaced,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_manhattan_misplaced,unique_to_manhattan,unique_to_misplaced,avg_order_diff_manhattan_misplaced,max_order_diff_manhattan_misplaced,shared_states_manhattan_h_max,unique_to_h_max,avg_order_diff_manhattan_h_max,max_order_diff_manhattan_h_max,shared_states_misplaced_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max
35,10,73,10,388,10,True,35,1,7,0.10287114845938376,0.20506535947712412,34,322,0.138066307234248,0.4987840097279222,66,0.24571783728760474,0.8330103359173127
19,8,24,8,92,8,True,19,0,0,0.04589371980676329,0.12077294685990342,19,68,0.14378895957843327,0.3577533577533578,24,0.11841057493231405,0.23698041089345437
28,10,28,10,317,10,True,28,0,0,0.0,0.0,28,289,0.1919538209095171,0.45018752930145334,28,0.1919538209095171,0.45018752930145334
35,10,88,10,454,10,True,35,0,9,0.1300009659036028,0.2931034482758621,35,375,0.163802474632237,0.4984417608102844,79,0.24358488875270637,0.7746060744462205
26,10,67,10,337,10,True,26,0,0,0.11477855477855477,0.2678787878787878,26,270,0.15039835164835164,0.371547619047619,67,0.30832041093235124,0.7161796536796536
26,10,64,10,340,10,True,26,0,0,0.19010989010989013,0.4101587301587302,26,276,0.23434535965509415,0.5000589970501476,64,0.22200712881022613,0.8081191178536311
28,10,28,10,228,10,True,28,0,0,0.0,0.0,28,200,0.20716500011654196,0.5477239353891336,28,0.20716500011654196,0.5477239353891336
23,10,36,10,313,10,True,23,0,1,0.08610954263128176,0.21948051948051944,23,277,0.21265328874024525,0.42249417249417254,35,0.20935897435897435,0.6023809523809524
28,10,28,10,228,10,True,28,0,0,0.0,0.0,28,200,0.23035685150222598,0.5345080763582966,28,0.23035685150222598,0.5345080763582966
29,8,32,8,80,8,True,29,3,3,0.02359764818051803,0.0518433179723502,26,51,0.11736681040478508,0.2766726943942134,29,0.12300587150279496,0.3781135157207024
